3
Paragraph CNN
Paragraph RNN
Paragraph CNN + RNN
    crude_humor_language | 0.66224 | 0.43394 | 0.43948 | 0.43571 | 0.65128 | 0.66224 | 0.65530 | 0.58874 |
drug_alcohol_tobacco_use | 0.62002 | 0.30540 | 0.34020 | 0.32059 | 0.57055 | 0.62002 | 0.59212 | 0.44410 |
                 kissing | 0.82252 | 0.78616 | 0.74427 | 0.76020 | 0.81520 | 0.82252 | 0.81554 | 0.17748 |
               profanity | 0.66927 | 0.57946 | 0.52383 | 0.52872 | 0.64696 | 0.66927 | 0.64606 | 0.44253 |
                  nudity | 0.69195 | 0.66143 | 0.50884 | 0.52030 | 0.72019 | 0.69195 | 0.69399 | 0.36747 |
        sex_and_intimacy | 0.51759 | 0.52590 | 0.52021 | 0.52026 | 0.54035 | 0.51759 | 0.52564 | 0.75215 |
     violence_and_horror | 0.58561 | 0.46138 | 0.46399 | 0.45643 | 0.56767 | 0.58561 | 0.56943 | 0.48241 |
  gay_lesbian_characters | 0.89289 | 0.29763 | 0.33333 | 0.31447 | 0.79724 | 0.89289 | 0.84236 | 0.18921 |
                 overall | 0.66380 | 0.66393 | 0.61837 | 0.63320 | 0.66310 | 0.66380 | 0.66126 | 0.38937 |
                 Average | 0.68276 | 0.50641 | 0.48427 | 0.48209 | 0.66368 | 0.68276 | 0.66755 | 0.43051 |
    crude_humor_language | 0.67240 | 0.45097 | 0.45566 | 0.45265 | 0.66422 | 0.67240 | 0.66730 | 0.59734 |
drug_alcohol_tobacco_use | 0.62862 | 0.31038 | 0.34584 | 0.32559 | 0.57978 | 0.62862 | 0.60058 | 0.43315 |
                 kissing | 0.82252 | 0.79667 | 0.72825 | 0.75025 | 0.81545 | 0.82252 | 0.81107 | 0.17748 |
               profanity | 0.64973 | 0.53667 | 0.48164 | 0.46117 | 0.61833 | 0.64973 | 0.61150 | 0.47224 |
                  nudity | 0.68335 | 0.43078 | 0.46842 | 0.44764 | 0.66384 | 0.68335 | 0.67263 | 0.38389 |
        sex_and_intimacy | 0.53323 | 0.54646 | 0.54094 | 0.53976 | 0.56015 | 0.53323 | 0.54224 | 0.72713 |
     violence_and_horror | 0.46286 | 0.37359 | 0.35693 | 0.34881 | 0.46012 | 0.46286 | 0.44308 | 0.73339 |
  gay_lesbian_characters | 0.89289 | 0.29763 | 0.33333 | 0.31447 | 0.79724 | 0.89289 | 0.84236 | 0.18921 |
                 overall | 0.66380 | 0.68166 | 0.59526 | 0.61320 | 0.66681 | 0.66380 | 0.65893 | 0.38468 |
                 Average | 0.66820 | 0.46789 | 0.46388 | 0.45504 | 0.64489 | 0.66820 | 0.64884 | 0.46423 |
    crude_humor_language | 0.67944 | 0.45283 | 0.45735 | 0.45463 | 0.66765 | 0.67944 | 0.67295 | 0.57389 |
drug_alcohol_tobacco_use | 0.63643 | 0.31180 | 0.34742 | 0.32794 | 0.58171 | 0.63643 | 0.60665 | 0.41830 |
                 kissing | 0.81704 | 0.77004 | 0.76811 | 0.76906 | 0.81640 | 0.81704 | 0.81672 | 0.18296 |
               profanity | 0.66771 | 0.59333 | 0.51136 | 0.50827 | 0.65152 | 0.66771 | 0.63885 | 0.44253 |
                  nudity | 0.70446 | 0.45203 | 0.46876 | 0.45982 | 0.67954 | 0.70446 | 0.69146 | 0.36278 |
        sex_and_intimacy | 0.53792 | 0.56511 | 0.53198 | 0.54431 | 0.57151 | 0.53792 | 0.55133 | 0.67162 |
     violence_and_horror | 0.56841 | 0.45039 | 0.44770 | 0.44120 | 0.55408 | 0.56841 | 0.55229 | 0.49726 |
  gay_lesbian_characters | 0.89289 | 0.29763 | 0.33333 | 0.31447 | 0.79724 | 0.89289 | 0.84236 | 0.18921 |
                 overall | 0.66536 | 0.67784 | 0.60459 | 0.62623 | 0.66749 | 0.66536 | 0.66291 | 0.36669 |
                 Average | 0.68804 | 0.48664 | 0.48325 | 0.47746 | 0.66496 | 0.68804 | 0.67158 | 0.41732 |
