7
Zero R
K-Nearest Neighbors
Logistic Regression
Multi-nomial Naïve Bayes
Random Forest
Support Vector Machine
Multi-Layer Perceptron
    crude_humor_language | 0.4363  | 0.1091  | 0.2500  | 0.1519  | 0.1903  | 0.4363  | 0.2650  | 1.7905  |
drug_alcohol_tobacco_use | 0.5410  | 0.1353  | 0.2500  | 0.1755  | 0.2927  | 0.5410  | 0.3799  | 0.7811  |
                 kissing | 0.7263  | 0.3632  | 0.5000  | 0.4207  | 0.5276  | 0.7263  | 0.6112  | 0.2737  |
               profanity | 0.3784  | 0.0946  | 0.2500  | 0.1373  | 0.1432  | 0.3784  | 0.2078  | 2.5027  |
                  nudity | 0.6247  | 0.1562  | 0.2500  | 0.1923  | 0.3903  | 0.6247  | 0.4804  | 1.0719  |
        sex_and_intimacy | 0.3518  | 0.0880  | 0.2500  | 0.1301  | 0.1238  | 0.3518  | 0.1831  | 2.8780  |
     violence_and_horror | 0.3589  | 0.0897  | 0.2500  | 0.1320  | 0.1288  | 0.3589  | 0.1896  | 0.8124  |
  gay_lesbian_characters | 0.8929  | 0.2976  | 0.3333  | 0.3145  | 0.7972  | 0.8929  | 0.8424  | 0.1892  |
                 overall | 0.4214  | 0.1054  | 0.2500  | 0.1482  | 0.1776  | 0.4214  | 0.2499  | 0.7334  |
                 Average | 0.5388  | 0.1667  | 0.2917  | 0.2068  | 0.3242  | 0.5388  | 0.3949  | 1.2874  |
    crude_humor_language | 0.6231  | 0.4319  | 0.4354  | 0.4309  | 0.6310  | 0.6231  | 0.6228  | 0.7826  |
drug_alcohol_tobacco_use | 0.5989  | 0.4149  | 0.3457  | 0.3454  | 0.5967  | 0.5989  | 0.5827  | 0.5059  |
                 kissing | 0.7975  | 0.7677  | 0.6799  | 0.7012  | 0.7875  | 0.7975  | 0.7780  | 0.2025  |
               profanity | 0.6122  | 0.5580  | 0.5706  | 0.5600  | 0.6396  | 0.6122  | 0.6221  | 0.6427  |
                  nudity | 0.6669  | 0.5835  | 0.5156  | 0.5282  | 0.6964  | 0.6669  | 0.6741  | 0.5035  |
        sex_and_intimacy | 0.5043  | 0.5461  | 0.5045  | 0.5062  | 0.5662  | 0.5043  | 0.5119  | 0.9930  |
     violence_and_horror | 0.5700  | 0.5323  | 0.4923  | 0.4994  | 0.5754  | 0.5700  | 0.5621  | 0.5496  |
  gay_lesbian_characters | 0.8812  | 0.5285  | 0.3772  | 0.3942  | 0.8373  | 0.8812  | 0.8506  | 0.2009  |
                 overall | 0.6302  | 0.6792  | 0.5813  | 0.6104  | 0.6495  | 0.6302  | 0.6277  | 0.4754  |
                 Average | 0.6568  | 0.5454  | 0.4901  | 0.4957  | 0.6663  | 0.6568  | 0.6505  | 0.5476  |
